Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CrhS3PzqsUt/,Overlooking the neon skyline against a starry night Global Brand Ambassador Lu Han begins to reflect upon where boundless imagination can lead discovering Gucci Cosmos. Conceived and designed by Es Devlin and curated by Maria Luisa Frisa the exhibition opening April 28 in Shanghai is an ode to the House’s 102-year history. Discover more at the link in bio. #LuHan #GucciCosmos #GucciValigeria,reel,2023-04-26 09:00 PM,204282,1.29,0.39075,2658,3.06,201624,1.28,,5506738,6057411,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CqdEWpkMZ1A/,Propelling the contemporary narrative forward by drawing from two historic archives the adidas x Gucci collection presents the Gazelle and ZX 8000 sneakers in a vibrant palette of refined materials. Discover more at the link in bio. #adidasxGucci,IMAGE,2023-03-31 09:00 AM,203824,1.29,0.38988,1085,0.66,202739,1.29,,4768104,5244914,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cpvd75gMvDn/,Guests in Gucci at the Vanity Fair Oscar Party included Daisy Edgar-Jones Anderson .Paak and Trevor Noah. #DaisyEdgarJones #AndersonPaak #TrevorNoah#GucciFW23 #GucciTailoring #VFOscars,CAROUSEL_ALBUM,2023-03-13 03:58 PM,203740,1.29,0.39068,488,-0.25,203252,1.3,,5220322,5742355,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CrGX-TSM6Kr/,Global Brand Ambassador Xiao Zhan visits Gucci’s founding city of Florence inspiring a reflection that goes ‘Beyond Heritage’ before the House opens Gucci Cosmos an immersive and explorative exhibition showcasing a special curation of decade-defining designs from the Gucci Archive. Discover more at the link in bio. #XiaoZhan #GucciCosmos,IMAGE,2023-04-16 10:00 AM,199365,1.24,0.38135,9589,13.67,189776,1.15,,6846960,7531656,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CxjVASMI866/,A story of passion. Rosso Ancora is the start.#GucciAncora #GucciSS24,CAROUSEL_ALBUM,2023-09-23 07:00 PM,190519,1.14,0.36372,640,-0.02,189879,1.15,,8624798,9487278,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CqAh8FkMa6j/,Wearing a sartorial look from the Spring Summer 2023 collection Global Brand Ambassador IU is photographed for Harper’s Bazaar Korea. #IU #GucciSS23 #GucciEditorials,IMAGE,2023-03-20 05:30 AM,189629,1.13,0.36362,1178,0.8,188451,1.13,,4736505,5210155,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CrdVXdtsutL/,In anticipation of Gucci Cosmos the House’s itinerant archival exhibition Global Brand Ambassador Xiao Zhan visits Florence to discover the House’s origins in its founding city before the Gucci Archive takes its first journey to Shanghai. Discover more at the link in bio. #XiaoZhan #GucciCosmos #GucciValigeria,reel,2023-04-25 08:00 AM,185501,1.08,0.35483,6143,8.4,179358,1.03,,6062969,6669266,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cyu_Je1sQ-_/,The art of nonchalance.Celebrating 70 years of the Horsebit 1953 loafer with Global Brand Ambassador Xiao Zhan.#GucciHorsebit1953 #XiaoZhan,IMAGE,2023-10-23 04:12 AM,180893,1.03,0.34534,5669,7.67,175224,0.98,,1740682,1914750,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CxkLynlMiTy/,A story of objects that are cold to the touch but warm to the heart.#GucciAncora #GucciSS24,CAROUSEL_ALBUM,2023-09-24 02:59 AM,178956,1.01,0.34164,974,0.49,177982,1.01,,9323233,10255556,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CydnHYfIsry/,Just Paul and his loafers.  Creative Director: Sabato De Sarno Artistic Director: Riccardo Zanola Photographer and Director: Heji Shin  Celebrating 70 years of the Horsebit 1953 loafer with Paul Mescal.  #GucciHorsebit1953 #PaulMescal,CAROUSEL_ALBUM,2023-10-16 10:14 AM,177708,0.99,0.33926,1104,0.68,176604,1,,1601591,1761750,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cp9vYqfMfwk/,Global Brand Ambassador IU is captured with the Jackie 1961 in the March issue of Harper’s Bazaar Korea. #IU #GucciJackie1961 #GucciSS23 #GucciEditorials,IMAGE,2023-03-19 05:00 AM,173399,0.95,0.3325,1879,1.87,171520,0.94,,4867590,5354349,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CqICpDZo2cm/,Hanni for Gucci Horsebit 1955. Discover the new campaign starring the Global Brand Ambassador at the link in bio. newjeans_official #Hanni #GucciHorsebit1955,IMAGE,2023-03-23 05:01 AM,170807,0.92,0.32672,1240,0.89,169567,0.92,,4630066,5093073,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CzENfw6CwWO/,Here and now.  For the House’s latest campaign imagined by Sabato De Sarno Billie Eilish is captured in a series of candid moments. #BillieEilish,CAROUSEL_ALBUM,2023-10-31 10:01 AM,170558,0.91,0.32561,421,-0.35,170137,0.92,,1312218,1443439,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CzUAbUyxteK/,Starry nights.Guests at the 2023 Art+Film Gala presented by Gucci in support of LACMA’s initiative to make film more central to the museum’s curatorial programming.#GucciLacma2023,CAROUSEL_ALBUM,2023-11-06 12:15 PM,170001,0.91,0.32455,747,0.14,169254,0.91,,878715,966587,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CzT9AwdojNu/,Art+Film & Fashion Gathering at LACMA for the twelfth annual Art+Film Gala honoring artist Judy Baca along with leading American filmmaker David Fincher. Proceeds from the event go toward underwriting LACMA’s initiative to make film more central to the museum’s curatorial programming.#GucciLacma2023 #GucciAncoraNotte,CAROUSEL_ALBUM,2023-11-06 11:45 AM,167324,0.88,0.31944,513,-0.21,166811,0.89,,891627,980790,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CxpaHfdsd1m/,A touch of light.#GucciAncora #GucciSS24,CAROUSEL_ALBUM,2023-09-26 03:40 AM,167019,0.87,0.31885,645,-0.01,166374,0.88,,7807928,8588721,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CzB2a1viCng/,Everything changes. Billie Eilish stars in a new campaign for the House. #BillieEilish,CAROUSEL_ALBUM,2023-10-30 12:01 PM,163261,0.83,0.31168,487,-0.25,162774,0.84,,1285405,1413946,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CtZ6c4ro0Uk/,Gucci Summer Stories arrive at Loulou Ramatuelle on the French Riviera. Signature motifs define the lounge area on the Pampelonne shore for a special setting to celebrate the season. Discover more about Gucci’s resort destinations at the link in bio. #GucciSummerStories,CAROUSEL_ALBUM,2023-06-12 05:09 PM,162363,0.82,0.31134,757,0.15,161606,0.83,,3716539,4088193,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CtcQcNWM25w/,Experience Gucci Summer Stories on the French Riviera from the shores of Pampelonne at Loulou Ramatuelle to the newly opened Saint-Tropez boutique on rue François Sibilli with a curated warm-weather selection featuring pieces exclusive to the destination.#GucciSummerStories,CAROUSEL_ALBUM,2023-06-13 03:00 PM,158259,0.78,0.30272,515,-0.21,157744,0.78,,3488883,3837771,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CsTn4xbII-k/,The Cruise 2024 collection debuts within the courtyard of Gyeongbokgung Palaces main hall known for receiving foreign dignitaries as past and present are brought together in a wondrous tableau.#GucciCruise24,CAROUSEL_ALBUM,2023-05-16 10:00 AM,156814,0.76,0.29996,494,-0.24,156320,0.77,,6478668,7126535,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/C3i57Yit-Z6/,Celebrating film.Guests at this year’s EE BAFTA Film Awards wearing Gucci by Creative Director Sabato De Sarno included Paul Mescal Supporting Actor nominee for ‘All of Us Strangers’ Daisy Edgar-Jones Kingsley Ben-Adir Idris Elba Sheila Atim and Ryan Gosling Supporting Actor nominee for ‘Barbie.’#PaulMescal #DaisyEdgarJones #KingsleyBenAdir #IdrisElba #SheilaAtim #RyanGosling #EEBAFTAs,CAROUSEL_ALBUM,2024-02-19 05:12 PM,156617,0.76,0.29891,242,-0.62,156375,0.77,,4003411,4403752,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/C3u4vojtxrz/,Distinctive pieces. Looks at the Fall Winter 2024 show are paired with heritage-infused travel beauty cases new cat-eye frames and necklaces with a studded motif inspired by the archive. #GucciFW24 #MFW #GGMilano #GucciEyewear,CAROUSEL_ALBUM,2024-02-24 08:53 AM,151610,0.7,0.28936,580,-0.11,151030,0.71,,5130773,5643850,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CqLd4qiAjz-/,Debuting a new campaign for the iconic Gucci Horsebit 1955 handbag.Discover more at the link in bio. Music Credits: America A HORSE WITH NO NAME (D. Bunnell) ©️ 1971 Warner Chappell Music LTD Courtesy of Warner Chappell Music Italiana S.r.l. (P) 1971 Warner Records Inc. Courtesy Of Warner Music Italy Srl #HalleBailey #GucciHorsebit1955,reel,2023-03-24 01:00 PM,146715,0.65,0.28064,654,0,146061,0.65,,4392457,4831703,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CupLo1ntWSu/,Heritage hardware defines the iconic Gucci Horsebit 1955 worn by Halle Bailey in the latest chapter of campaign.hallebailey #HalleBailey #GucciHorsebit1955,IMAGE,2023-07-13 12:00 PM,146178,0.64,0.27968,648,0,145530,0.64,,575086,632595,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CvpxjRboyd0/,Beyoncé in a custom Gucci look while performing during her Renaissance World Tour in Washington D.C. #Beyoncé #RenaissanceWorldTour #Gucci,CAROUSEL_ALBUM,2023-08-07 02:02 PM,146103,0.64,0.27918,633,-0.03,145470,0.64,,574825,632308,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CpdVrrHrcn2/,The Gucci Diana bag is traced and twisted through a contemporary lens in the Spring Summer 2023 collection. Discover more at the link in bio. ⁣⁣#GucciDiana #GucciSS23,IMAGE,2023-03-06 02:00 PM,146049,0.64,0.27936,670,0.02,145379,0.64,,3881818,4269999,
