INDUSTRY,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
Tech,YouTube,Spotify,"1,670,000",0 0%,37249,30,1242 /post,0.07%,2.23%,,850.86K
Travel,Facebook,Tripadvisor,"7,651,847","1,501 0.02%",17671,106,166.7 /post,0.00%,0.23%,"65,461",
Travel,Twitter,Tripadvisor,"3,378,505","-2,218 -0.07%",1976,93,21.2 /post,0.00%,0.06%,,
Travel,Instagram,Tripadvisor,"2,983,963","8,058 0.27%",37700,42,897.6 /post,0.03%,1.26%,"1,808,837",
Travel,YouTube,Tripadvisor,"24,800",500 2.06%,0,0,0 /post,0%,0%,,0
Travel,TikTok,Tripadvisor,"7,615",455 6.35%,2113,30,70.4 /post,0.93%,27.75%,,
Travel,Facebook,trivago,"9,509,568","-3,223 -0.03%",1361,15,90.7 /post,0.00%,0.01%,"5,078",
Travel,Instagram,trivago,"1,183,194","17,314 1.49%",2788,22,126.7 /post,0.01%,0.24%,"32,228",
Travel,Twitter,trivago,"137,933",-170 -0.12%,57,13,4.4 /post,0.00%,0.04%,,
Travel,YouTube,trivago,"73,400",100 0.14%,0,0,0 /post,0%,0%,,0
Travel,TikTok,trivago,"11,972","1,895 18.81%",2150,38,56.6 /post,0.47%,17.96%,,
Tech,Facebook,uber,"21,901,726","-2,197 -0.01%",0,0,0 /post,0%,0%,0,
Tech,Instagram,Uber,"1,589,574","6,562 0.41%",31782,22,1445 /post,0.09%,2.00%,"277,088",
Tech,Twitter,Uber,"1,088,409",943 0.09%,1830,29,63.1 /post,0.01%,0.17%,,
Tech,TikTok,Uber,"1,034,513","37,957 3.81%",118843,14,8489 /post,0.82%,11.49%,,
Tech,YouTube,Uber,"886,000","1,000 0.11%",77,14,5.5 /post,0.00%,0.01%,,3.36M
Fashion,Facebook,uniqlo,"1,201,255",0 0%,10579,73,144.9 /post,0.01%,0.88%,0,
Fashion,Youtube,uniqlo,"99,500",0 0%,4836,42,115.1 /post,0.12%,4.86%,,3.59M
Fashion,Tik Tok,uniqlo,6,0 0%,0,0,0 /post,0%,0%,,
Fashion,Instagram,UNIQLO Global,"2,494,409",0 0%,68397,30,2280 /post,0.09%,2.74%,0,
Travel,Instagram,Viking,"242,987",0 0%,19609,25,784.4 /post,0.32%,8.07%,"257,852",
Travel,Twitter,Viking,"57,223",0 0%,283,7,40.4 /post,0.07%,0.50%,,
Travel,YouTube,Viking,"37,000",0 0%,240,5,48 /post,0.13%,0.65%,,8518
Travel,Facebook,VikingCruises,"1,237,995",0 0%,36307,29,1252 /post,0.10%,2.93%,"114,773",
Travel,Facebook,Vrbo,"6,112,023","-4,621 -0.08%",192868,16,12.1K /post,0.20%,3.16%,"642,719",
Travel,TikTok,Vrbo,"2,108,964","43,233 2.09%",274818,10,27.5K /post,1.30%,13.03%,,
Travel,Instagram,Vrbo,"1,287,292","3,492 0.27%",12407,19,653 /post,0.05%,0.96%,"123,030",
Travel,YouTube,Vrbo,"42,300",100 0.24%,7,1,7 /post,0.02%,0.02%,,688
Travel,Twitter,Vrbo,"36,526",83 0.23%,16,1,16 /post,0.04%,0.04%,,
Fashion,Instagram,ZARA,"61,493,040","79,579 0.13%",3247338,32,101.5K /post,0.17%,5.28%,"80,210,500",
Fashion,Facebook,Zara,"30,656,605","-6,917 -0.02%",57026,24,2376 /post,0.01%,0.19%,"382,139",
Fashion,Tik Tok,ZARA,"10,416,988","253,707 2.5%",699488,12,58.3K /post,0.56%,6.72%,,
Fashion,Twitter,ZARA,"1,375,805",-255 -0.02%,3249,20,162.4 /post,0.01%,0.24%,,
Fashion,Youtube,zara,"118,000","1,000 0.85%",0,0,0 /post,0%,0%,,0
