Profile,Platform,Profile Link,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cvr7K0mLhCD/,The latest drop from Humanrace elevates the Samba with a highend leather upper lining and shoelaces sourced from eccoleather a world leader in premium leather.Humanrace Samba Tones by Pharrell in 3 new colorways will be available globally August 12th via Confirmed Humanrace.com and select retailers.,CAROUSEL_ALBUM,2023-08-08 10:05 AM,38166,-0.22,0.11094,215,-0.66,37951,-0.22,,355249,390774
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cxah6iyI6Y9/,An original that has been moving strong for over 70 years. #adidasGazelle #WeGaveTheWorldAnOriginal,IMAGE,2023-09-20 09:00 AM,36981,-0.25,0.10745,144,-0.77,36837,-0.24,,1120589,1232648
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C53hfLsIkka/,Running around the block.#adidasSamba #adidasGazelle #adidasSpezial,reel,2024-04-17 11:26 AM,35949,-0.27,0.10418,219,-0.65,35730,-0.26,,369674,406642
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C4-L2uzI-Ri/,One block. Three footwear icons. A thousand ways styled by you. 👟Gazelle Samba and Spezial all started in sports – and have seamlessly made their way into the heartbeat of culture around the globe.#adidasGazelle #adidasSamba #adidasSpezial,reel,2024-03-26 05:00 AM,35758,-0.27,0.10363,256,-0.6,35502,-0.27,,353821,389203
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CsYIGnoI6yM/,jalen and the new BAPE Forum 84 Low. Question is: blue or green?,reel,2023-05-18 04:00 AM,35403,-0.28,0.10291,545,-0.15,34858,-0.28,,339350,373285
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzYRXd1ofQv/,Natural lightEncounter the elegance of sportswear with adidas Originals by Wales BonnerAvailable now on CONFIRMED adidas.com/wales_bonner walesbonner.net and select retailers.,CAROUSEL_ALBUM,2023-11-08 04:00 AM,34859,-0.29,0.10128,154,-0.76,34705,-0.28,,300646,330711
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cu18y3wIp9W/,FIT CHECK: valslooks styling the Superstar XLG 7 ways in 7 days. #SuperstarXLG,reel,2023-07-18 11:01 AM,34360,-0.3,0.09988,163,-0.74,34197,-0.29,,293691,323060
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzZJ9U8LeeF/,When 90s nostalgia meets sporty sophistication. adidas Originals x walesbonner available now on CONFIRMED adidas.com/wales_bonner and select stores,CAROUSEL_ALBUM,2023-11-08 12:14 PM,33187,-0.32,0.09642,158,-0.75,33029,-0.32,,298536,328390
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CyDvLSHtd2C/,Exploring deconstructed garments and textures with muartive.#moncleradidasoriginals,reel,2023-10-06 09:07 AM,32295,-0.34,0.09383,91,-0.85,32204,-0.34,,207782,228561
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CrispJUIwar/,POV: You’re one of 18 artists reimagining the classics 👟✨,reel,2023-04-27 10:00 AM,32230,-0.34,0.09369,158,-0.75,32072,-0.34,,281937,310130
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Ctzezu8L9YY/,Views from Paris 💙 adidasrunning athletes yomif_kejelcha and tami_tola walked the walesbonner Marathon Spring Summer 2024 show. Swipe to see their walks and wears. #adidasOriginalsbyWalesBonner,CAROUSEL_ALBUM,2023-06-22 03:28 PM,31866,-0.35,0.09263,159,-0.75,31707,-0.35,,285355,313891
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cwwy0UpIifV/,Built for basketball adopted by culture. Dive into the rich legacy of #adidasSuperstar.#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-04 03:59 AM,31464,-0.36,0.09142,170,-0.73,31294,-0.35,,1176495,1294145
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cw18iLAo8yT/,Rewind to the early 2000s: music videos iconic films and the reign of the laceless #adidasSuperstar. Swipe to unfold the story. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-06 04:01 AM,31458,-0.36,0.0914,140,-0.78,31318,-0.35,,1148273,1263101
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzL-TmzLZTJ/,Available now the Humanrace Samba collection continues to channel Pharrell’s intuition and Humanrace’s design ethos through expert craftsmanship and premium materials.Standout details include an elongated fold-over tongue zig-zag stitching waxed laces and a suede toe-cap. Photography by Liammacrae captures the essence of the collection’s versatility and comfort.Available globally via adidas.com/Pharrell Humanrace.com and select retailers.,CAROUSEL_ALBUM,2023-11-03 10:22 AM,31030,-0.37,0.09016,120,-0.81,30910,-0.36,,265869,292456
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CwzXoScIOpc/,1965. The first ever #adidasSuperstar ad. An Original that changed the game both on and off the court. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-05 04:00 AM,30912,-0.37,0.08981,188,-0.7,30724,-0.37,,1158040,1273844
