Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/Cue9wfWoESJ/,They’re getting married 💍Logan Paul has proposed to girlfriend Nina Agdal 🥹🤍,CAROUSEL_ALBUM,2023-07-09 12:46 PM,145747,7.35,0.81082,370,-0.89,145377,9.03,,244281,268709,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C2qvF_Ns6rD/,♥️ Touchdowns and Taylor ♥️ The perfect celebration for an AFC Championship win! 🏈🎤💋 #KelceSwiftVictory,CAROUSEL_ALBUM,2024-01-28 09:40 PM,142016,7.13,0.79006,870,-0.74,141146,8.74,,195011,214512,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/Cw1XCIzIoFE/,A MOMENT ❤️‍🔥 Our girls coming through on the black carpet looking all kinds of 🔥 teyanataylor & loriharvey ✨#PLTbyNaomi,reel,2023-09-05 10:34 PM,140194,7.03,0.77993,584,-0.82,139610,8.63,,208950,229845,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C1hR6o7sNTE/,🚨 BACK BY POPULAR DEMAND 🚨 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑🎧 MUST follow prettylittlething🎧 LIKE this post🎧 COMMENT 🦄 below (more comments = more entries)🎧 TAG a bestieShare to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 13.01.24. Winner announced 15.01.24. T&Cs found at prettylittlething.com.,reel,2023-12-31 09:00 AM,138004,6.9,0.76774,119114,34.37,18890,0.3,,466652,513317,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/Cq5I0HGIHYu/,WE CAN’T COPE 💍💕 milliebobbybrown and her partner are engaged 💒 So cute!!!👏,IMAGE,2023-04-11 06:37 AM,134238,6.69,0.74679,221,-0.93,134017,8.24,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C2NuyfasR8F/,LOVERSSSS 🥺❤️💍 justinbieber & haileybieber at Lori Harvey’s birthday party 🫶 They just melt our heart 😭,CAROUSEL_ALBUM,2024-01-17 03:19 PM,133614,6.65,0.74332,403,-0.88,133211,8.19,,191391,210530,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/CrD6PiWoK9G/,SHES HERE 👼🏼💖 sydneymaycrouch has given birth to her baby girl 🥹 Welcome Ocean August Straughn to the world 🌊💕,CAROUSEL_ALBUM,2023-04-15 11:02 AM,129401,6.41,0.71988,130,-0.96,129271,7.92,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C3O9HuNIDK4/,Taylor and Travis 🫶🫶,reel,2024-02-11 11:16 PM,127397,6.29,0.70874,2488,-0.26,124909,7.61,,202924,223217,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C1zSCvXNhh9/,HE’S HERE 🥺 Massive congrats to hallebailey & ddg ✨ Baby Halo has arrived 🩵,CAROUSEL_ALBUM,2024-01-07 08:48 AM,126840,6.26,0.70564,248,-0.92,126592,7.73,,189441,208385,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/Cx-qG-CMxYv/,THATS SO FETCH 💅💘 Get January 12th in your calendar dolls 🗓️ A new Mean Girls movie is coming to a theatre near you!! 🫢 #meangirls,IMAGE,2023-10-04 09:44 AM,122752,6.03,0.68289,906,-0.73,121846,7.4,,196670,216337,
