Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CrnTjPJg5Dl/,Make-up stains? We don?ôt know her ????L?ôOreal Elnett [1613122] As Seen On emmanoodle_,reel,2023-04-29 5:00,22103,6.98,0.14925,509,7.1,21594,6.24,,57455,63201
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CumVq1Qszwo/,On Wednesdays we wear... ?íï?å∑???íÑ?íñASOS DESIGN corset dress in pink [127286312] As Seen On summerjadestyle [she/her],reel,2023-07-12 9:30,21733,6.85,0.14676,166,1.64,21567,6.23,,42218,46440
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CruyN-jADcs/,2023 #MetGala did not disappoint. All our fave looks incoming ?îú #Rihanna included guesses below what inspired her look as a tribute to #KarlLagerfeld ?ëá,reel,2023-05-02 2:43,21539,6.78,0.14545,217,2.45,21322,6.15,,42183,46401
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvovGD1sPdx/,?? COMPETITION TIME ?? Make some (pink) noise for our newest brand!!! Kan you guess who it is? Answer right and you could WIN ONE of 15 GOODIES from them ?íò Drop your guess in the comments and follow ASOS on IG to enter. Ends 09/08/2023 @ 12PM BST.Ts&Cs apply.SUMMARY TERMS AND CONDITIONS:18+ only. Purchase necessary. Between 9am on 07/08/23 & 12pm on 09/08/23 follow ASOS then comment underneath their promotional post with your guess of the new brand coming to ASOS. All correct guesses will be entered into the prize draw. Prizes: 15 x pre-determined products from the new brand. Internet access & Instagram account required. Max 1 entry per person. Max 1 Prize per person. If a winner is not from the UK the prize may take over 28 days to be fulfilled.  Visit www.asos.com/discover/marketing-terms-and-conditions/07082023-social-competition/ for full T&Cs & prize details. Promoter: ASOS.com. Mornington Crescent Greater London house Hampstead Rd London NW1 7FB.,reel,2023-08-07 4:22,20951,6.57,0.14148,8142,128.65,12809,3.29,,205010,281179
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CrnXYNTMWTj/,On set we work hard and dance even harder! ?í™?é∂ #internationaldayofdance ?íÉ ASOS EDITION dress [115955096] As Seen on elliejg16_zebedeemodel,reel,2023-04-29 5:30,20501,6.4,0.13844,174,1.77,20327,5.82,,38030,41833
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cvr0dcktFNk/,Mid-summer monochrome for vacay as demo?ôd by the beaut megan.carole [she/her] ?ñ§ ?òòASOS EDITION broderie midi dress with puff sleeve in black [124346453],reel,2023-08-08 9:06,20160,6.28,0.13613,197,2.13,19963,5.7,,34043,37447
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C06OcJSs5-H/,Have a holly jolly holiday ?íÖ?ÑÔ∏è?íö amberjhnails [she/her]?îé Search ?ònails??on ASOS,reel,2023-12-16 5:00,20029,6.23,0.13525,103,0.64,19926,5.68,,298046,327851
asos,https://www.instagram.com/asos,https://www.instagram.com/p/CpubSKXgRi4/,As expected the #VanityFair 2023 Oscar Party looks did not disappoint ?ëè??CAROUSEL_ALBUM,2023-03-13 6:16,19510,6.05,0.13174,121,0.92,19389,5.5,,33958,37354,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/Cru--gAgq0E/,We?ôre calling it now the looks at this year?ôs Met Gala we?ôre PURR-FECT (iykyk) Which look is your fav 1-10? ?ëá,CAROUSEL_ALBUM,2023-05-02 4:30,19376,6,0.13084,106,0.68,19270,5.46,,37277,41005
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CtoRbUhtpJf/,Oopsy daisy we fell in love with another pair of Cons ?§©Converse Chuck Taylor All Star Lift hi trainers with flower embroidery [125493455],reel,2023-06-18 7:00,18636,5.73,0.126,214,2.4,18422,5.18,,32288,35517
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C0jsfJUpkbX/,vivianmariewong [she/her] is giving herself  the gift of good nails this year ?íÖ?éÅ,reel,2023-12-07 11:00,18116,5.54,0.12233,136,1.16,17980,5.03,,290418,319459
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvpO56Psg22/,The hack you didn?ôt know you needed ?§≠?òâNARS Orgasm Liquid Blush[1028640] As Snapped by stephh_romo [she/her],reel,2023-08-07 9:00,17846,5.45,0.12051,359,4.71,17487,4.86,,34416,37857
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuzEGlto7rd/,Satisfying sneaker sounds ?ëü?îàSearch New Balance 9060 on ASOS As Snapped By anvaniy [she/her]?îé For similar in black and white [21833985],reel,2023-07-17 8:06,17814,5.43,0.12029,146,1.32,17668,4.92,,36836,40520
