Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7341454369810058542,If you need me I?ôll be curled up on a couch eating this ?§§?íö #ubereats ,2024-03-01 12:53,video,69,2361,-0.73,2354,0.27,21,0.42,7,39,0.34,56135,4.20593,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7311715477523418410,What?ôs your current go-to when you get the aux? ?§î?é∂ #uber ,2023-12-12 9:30,video,15,2339,-0.73,2323,0.26,10,0.2,16,24,0.21,41160,5.6827,,,uber,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7340730153590443310,Why get 1 cake when I can get 4 CAKES?! ?òç?éÇ?íê?´ñ?•ê #ubereats ,2024-02-28 14:02,video,74,2332,-0.73,2324,0.26,5,0.1,8,43,0.37,68453,3.40672,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7270165440595496238,Okay??it?ôs got a little kick ?òÖ #uber ,2023-08-22 11:15,video,8,2315,-0.73,2295,0.26,16,0.32,20,28,0.24,26724,8.66263,ok its got a little kick em,,uber,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7266110698030206250,office hours call for office snacks ?òå #ubereats ,2023-08-11 13:00,video,8,2303,-0.73,2260,0.25,35,0.7,43,17,0.15,38690,5.95244,original sound Chris89,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7231587200146918702,POV: You?ôre doing that film thing while you celebrate with mom this weekend ???é• #ubereats #mothersday ,2023-05-10 12:12,video,35,2301,-0.73,2253,0.25,13,0.26,11,24,0.21,73100,3.14774,original sound Uber,,ubereats mothersday,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7262391618374765867,Tag your ?òBecky??to let them know you?ôre not coming out ?òÇ #ubereats ,2023-08-01 12:28,video,6,2267,-0.74,2246,0.25,15,0.3,21,32,0.28,29690,7.63557,iPhone vibrating ringtone Nick,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7238993895265307950,Tag ur friend who insists on cooking but probably shouldn?ôt ?´£ #ubereats ,2023-05-30 11:13,video,5,2253,-0.74,2207,0.25,11,0.22,14,21,0.18,36400,6.18956,original sound Kardash Kingdom,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7265725365744602414,It?ôs actually the 4th night but who?ôs counting?????òÖ #ubereats ,2023-08-10 12:05,video,5,2190,-0.75,2158,0.24,13,0.26,32,20,0.17,31263,7.00509,?§Î¶¨ÏßÄ???¨Ïö¥??bunny/jupiter ?íü?íü,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7231231627521707307,If you?ôve had a #chimi you know it?ôs worth the hype ?òé?á©?á¥ #ubereats #dominican ,2023-05-09 13:12,video,27,2147,-0.75,2090,0.23,17,0.34,29,11,0.09,32100,6.68847,PLAYA MERENGUE Nomad & Lola,,chimi ubereats dominican,
