Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrUjb0GL_7W/,Fear of God Athletics. Coming soon.,IMAGE,2023-04-21 22:09,33903,-0.33,0.09867,127,-0.8,33776,-0.32,,249976,274973
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzZJ9U8LeeF/,When 90s nostalgia meets sporty¬†sophistication.¬†adidas Originals x walesbonner¬†available now on CONFIRMED¬†adidas.com/wales_bonner¬†and select¬†stores,CAROUSEL_ALBUM,2023-11-08 12:14,33187,-0.34,0.09642,158,-0.75,33029,-0.34,,298536,328390
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CyDvLSHtd2C/,Exploring deconstructed garments¬†and textures with muartive.#moncleradidasoriginals,reel,2023-10-06 9:07,32295,-0.36,0.09383,91,-0.86,32204,-0.35,,207782,228561
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CrispJUIwar/,POV: You?ôre one of 18 artists reimagining the classics¬†?ëü??reel,2023-04-27 10:00,32230,-0.36,0.09369,158,-0.75,32072,-0.36,,281937,310130,
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Ctzezu8L9YY/,Views from Paris ?íô adidasrunning athletes yomif_kejelcha and tami_tola walked the walesbonner Marathon Spring Summer 2024 show. Swipe to see their walks and wears. #adidasOriginalsbyWalesBonner,CAROUSEL_ALBUM,2023-06-22 15:28,31866,-0.37,0.09263,159,-0.75,31707,-0.36,,285355,313891
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CqhrtLCoYhz/,Welcome a new chapter in the adidas x Gucci narrative from a fresh perspective. Signature silhouettes connect with archive-inspired icons to create something distinctly new. Discover the #adidasxGucci collection on CONFIRMED and online at adidas.com/gucci,reel,2023-04-02 4:01,31704,-0.37,0.09227,155,-0.76,31549,-0.37,,283143,311457
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cqf9lf2gGlM/,??... see you in the desert...,reel,2023-04-01 12:00,31572,-0.37,0.09199,195,-0.7,31377,-0.37,,301597,331756
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cwwy0UpIifV/,Built for basketball adopted by culture. Dive into the rich legacy of¬†#adidasSuperstar.#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-04 3:59,31464,-0.38,0.09142,170,-0.74,31294,-0.37,,1176495,1294145
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cw18iLAo8yT/,Rewind to the early 2000s: music videos iconic films and the reign of the laceless #adidasSuperstar. Swipe to unfold the story.¬†#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-06 4:01,31458,-0.38,0.0914,140,-0.78,31318,-0.37,,1148273,1263101
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrUjojzrd7O/,Fear of God Athletics. Coming soon.,IMAGE,2023-04-21 22:11,31289,-0.38,0.09107,161,-0.75,31128,-0.37,,249317,274248
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzL-TmzLZTJ/,Available now the Humanrace Samba collection continues to channel Pharrell?ôs intuition and Humanrace?ôs design ethos through expert craftsmanship and premium materials.Standout details include an elongated fold-over tongue zig-zag stitching waxed laces and a suede toe-cap. Photography by Liammacrae captures the essence of the collection?ôs versatility and comfort.Available globally via adidas.com/Pharrell Humanrace.com and select retailers.,CAROUSEL_ALBUM,2023-11-03 10:22,31030,-0.38,0.09016,120,-0.81,30910,-0.38,,265869,292456
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CwzXoScIOpc/,1965. The first ever #adidasSuperstar ad. An Original that changed the game both on and off the court.¬†#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-05 4:00,30912,-0.39,0.08981,188,-0.71,30724,-0.38,,1158040,1273844
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cy_xAuqPqN7/,From the streets to the studios the shop to the stage. The #adidasRivalry pushed the game forward for all of us. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-10-29 16:35,30808,-0.39,0.08951,106,-0.83,30702,-0.38,,234831,258314
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C0ZTB_WLpzP/,Discover the 2023-2024 fearofgodathletics opening season collection available now on fearofgod.com and CONFIRMED.,IMAGE,2023-12-03 10:05,30668,-0.39,0.08894,133,-0.79,30535,-0.39,,186993,205692
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxC0a06oj1U/,The press called it Samba and we?ôve danced with the name ever since.¬†#adidasSamba¬†#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-11 4:00,30582,-0.39,0.08885,125,-0.8,30457,-0.39,,1108394,1219233
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyV2ejbLlYP/,VISIONARY. BRIDGE. ORIGINALWelcome back edisonchenedisonchen x adidasoriginals#1000originals#adidasoriginals,IMAGE,2023-10-13 9:55,30557,-0.39,0.08878,264,-0.59,30293,-0.39,,236499,260149
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Ctt3tQmg8IO/,De ?áµ?á∑ pa ?á´?á∑ sin escalas ?ãMeet the latest colorway in the badbunnypr Response CL collection: Triple Black. Draw is now open on the adidas CONFIRMED app. #adidasxbadbunny.??reel,2023-06-20 11:37,30538,-0.39,0.08877,243,-0.63,30295,-0.39,,270316,297348,
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CuypODWIG_z/,THE ORIGINAL ?îÉ REMIXED.¬†Introducing the Superstar XLG ??The iconic silhouette receives a bold elevated platform. Made¬†for ever-evolving streetwear aesthetics.-Available globally on adidas.com and adidas stores. Link in bio.#SuperstarXLG,CAROUSEL_ALBUM,2023-07-17 4:11,30268,-0.4,0.08799,140,-0.78,30128,-0.39,,267507,294258
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyBXkYJN2Nn/,A harmonious collision of ideas the¬†Moncler x adidas Originals collection¬†continues on¬†its journey to develop The Art¬†of Explorers.,CAROUSEL_ALBUM,2023-10-05 11:00,30229,-0.4,0.08783,114,-0.82,30115,-0.39,,236837,260520
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cw9qzYKob-w/,Gazelle: the comeback kicks with musical roots in pop culture.#adidasGazelle¬†#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-09 4:00,29976,-0.4,0.08709,128,-0.8,29848,-0.4,,1095321,1204853
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxFZLQjIPoe/,How has #adidasSamba¬†evolved over the years? Swipe to find out.#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-12 3:59,29489,-0.41,0.08568,265,-0.59,29224,-0.41,,1151389,1266528
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyYJbPNuW5b/,Congrats edisonchen Sights from the SS24 clot Fashion Show.,CAROUSEL_ALBUM,2023-10-14 7:19,28971,-0.42,0.08417,182,-0.72,28789,-0.42,,246660,271325
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Ct1sJDCreYB/,A postcard from IVY PARADISE. Available now ??link in bio to shop. #adidasxivypark #ivyparadise,CAROUSEL_ALBUM,2023-06-23 12:03,28801,-0.43,0.08372,247,-0.62,28554,-0.43,,270026,297028
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxsKSwvt8ET/,Spirit. Tenacity. Original. ¬†stormzy¬†x adidasOriginals¬†x adidasLondon ¬†#1000Originals #adidasOriginals,reel,2023-09-27 5:44,28677,-0.43,0.08332,167,-0.74,28510,-0.43,,872274,959501
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C3kthmfroru/,What happens when two legacies collide and a new era begins? Welcome to the house of edisonchen.Available in-store online and on CONFIRMED February 23rd.,reel,2024-02-20 10:05,28556,-0.43,0.08297,529,-0.19,28027,-0.44,,276603,304264
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyEDhswoytT/,Originality meets Extraordinary in¬†the pursuit of exploration.¬†vickyylopezz._ jkeey4¬†stefanostsitsipas98,CAROUSEL_ALBUM,2023-10-06 12:02,27467,-0.45,0.0798,124,-0.81,27343,-0.45,,221070,243176
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CuOkvSXo9Pt/,New season fits¬†?ëÔ∏è¬†adidas Originals x kseniaschnaider,reel,2023-07-03 4:00,27371,-0.46,0.07956,283,-0.56,27088,-0.45,,297818,327600
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cxfre2doqko/,An icon of street style stays true to its¬†legacy ??on and off the pitch.¬†#adidasSamba¬†#WeGaveTheWorldAnOriginal,IMAGE,2023-09-22 9:00,26878,-0.47,0.07809,138,-0.79,26740,-0.46,,822550,904805
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxOFMg6IAAE/,Before setting trends across the globe this classic silhouette made headlines in¬†football. The press called it Samba and we?ôve run with the name ever since. Once an¬†Original always an Original.¬†#adidasSamba¬†#WeGaveTheWorldAnOriginal,reel,2023-09-15 13:00,26866,-0.47,0.07806,420,-0.36,26446,-0.47,,1053418,1158760
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CtRa4XIoswi/,People place and home.Inspired by the land of wood and water adidas Originals by walesbonner returns with reimagined vintage silhouettes in celebration of Jamaicas cultural¬†identity.Available now via CONFIRMED adidas stores and select retailers.#adidasOriginalsbyWalesBonner,CAROUSEL_ALBUM,2023-06-09 10:00,26655,-0.47,0.07748,202,-0.69,26453,-0.47,,268048,294852
