Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7257557249751534874,Mythology is in the air for #DiorCouture. What would you pick? #TikTokFashion #pfw ,2023-07-19 11:48,video,85,4960,-0.93,4882,0.06,38,0.03,221,40,0.05,104800,4.73282,original sound Dior,,diorcouture tiktokfashion pfw,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7336153458476731681,Get an exclusive look at Rachel Zegler getting ready for the Rouge Dior Pop-Up in Los Angeles. ¬© Dnl.Darmon #DiorBeauty #DiorMakeup #RougeDior,2024-02-16 6:02,video,106,4960,-0.93,4731,0.06,35,0.03,229,49,0.06,97448,5.08989,original sound,Dior,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7259806280884178202,Bask in seaside elegance amid sandcastles. #Dioriviera ,2023-07-25 13:16,video,28,4862,-0.93,4728,0.06,69,0.07,292,65,0.09,100200,4.8523,son original Dior,,dioriviera,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7329465480316521760,Curious about the makeup look of the #DiorCouture Spring-Summer 2024 collection? @Peter Philips spills all the details!  #DiorBeauty #DiorMakeup,2024-01-29 5:29,video,52,4764,-0.93,4602,0.06,28,0.02,162,36,0.04,63902,7.45517,,,diorcouture  diorbeauty diormakeup,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7235802427289603354,Even Karlie Kloss Pierre Niney Alex Lutz get starstruck at #Cannes2023! ,2023-05-21 20:51,video,41,4632,-0.93,4632,0.06,37,0.03,0,25,0.03,210350,2.20204,original sound Dior,,cannes2023,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7247142902030159131,Colors reinvented in the it-shades of the season. The new #Diorshow 5 Couleurs Khaki Palette reveals a new formula in fashionable colors and finishes adorned by an intensely desirable case. ¬† #DiorBeauty #DiorMakeup ,2023-06-21 10:15,video,9,4503,-0.93,4283,0.06,77,0.07,220,65,0.09,136583,3.2969,original sound Dior,,diorshow diorbeauty diormakeup,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7247655715681144090,Tweed tales unfold at the Dior archives with @Felix Mallard for #DiorSummer24 #TikTokFashion #FelixMallard,2023-06-22 19:26,video,54,4437,-0.93,4146,0.05,87,0.09,291,55,0.07,131745,3.36787,original sound Dior,,diorsummer24 tiktokfashion felixmallard,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7257190206653123867,J?ôadore Les Adorables a collection of beauty rituals delicately perfumed with the notes of J?ôadore to pamper your skin and wrap it in a veil of natural pleasure. ¬† #DiorBeauty #DiorParfums #JadoreDior ,2023-07-18 12:04,video,7,4229,-0.94,4139,0.05,35,0.03,169,55,0.07,91400,4.62691,original sound Dior,,diorbeauty diorparfums jadoredior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7337252934079581472,These Dior B9S skate sneakers were designed to hit the pavement. #DiorSummer24,2024-02-19 5:09,video,43,4162,-0.94,4019,0.05,31,0.03,143,41,0.05,81873,5.08348,original sound,Dior,diorsummer24,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7295510835697290529,#DiorBeauty #DiorParfums #JadoreDior #FlowersAreGold ,2023-10-29 18:28,video,22,4122,-0.94,3895,0.05,63,0.06,227,87,0.12,115283,3.57555,original sound Dior,,diorbeauty diorparfums jadoredior flowersaregold,
