INDUSTRY,Size,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
Travel,Small,Instagram,Trivago,"1,183,194","17,314 1.49%",2788,22,126.7 /post,0.01%,0.24%,"32,228",
Travel,Small,TikTok,Trivago,"11,972","1,895 18.81%",2150,38,56.6 /post,0.47%,17.96%,,
Travel,Small,Twitter,Trivago,"137,933",-170.0012,57,13,4.4 /post,0.00%,0.04%,,
Travel,Small,YouTube,Trivago,"73,400",100 0.14%,0,0,0 /post,0%,0%,,0
Travel,Small,Facebook,VikingCruises,"1,237,995",0 0%,36307,29,1252 /post,0.10%,2.93%,"114,773",
Travel,Small,Instagram,VikingCruises,"242,987",0 0%,19609,25,784.4 /post,0.32%,8.07%,"257,852",
Travel,Small,Twitter,VikingCruises,"57,223",0 0%,283,7,40.4 /post,0.07%,0.50%,,
Travel,Small,YouTube,VikingCruises,"37,000",0 0%,240,5,48 /post,0.13%,0.65%,,8518
Travel,Small,Facebook,Vrbo,"6,112,023","-4,621 -0.08%",192868,16,12.1K /post,0.20%,3.16%,"642,719",
Travel,Small,Instagram,Vrbo,"1,287,292","3,492 0.27%",12407,19,653 /post,0.05%,0.96%,"123,030",
Travel,Small,TikTok,Vrbo,"2,108,964","43,233 2.09%",274818,10,27.5K /post,1.30%,13.03%,,
Travel,Small,Twitter,Vrbo,"36,526",83 0.23%,16,1,16 /post,0.04%,0.04%,,
Travel,Small,YouTube,Vrbo,"42,300",100 0.24%,7,1,7 /post,0.02%,0.02%,,688
