INDUSTRY,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
Fashion,twitter,nike,"10,049,679","57,462 0.58%",3683,2,1842 /post,0%,0%,,
Fashion,twitter,gucci,"7,188,362","6,303 0.09%",97114,90,1079 /post,0.02%,1.35%,,
Fashion,tiktok,adidas,"6,221,437","105,518 1.73%",717207,30,23.9K /post,0.38%,11.53%,,
Fashion,tiktok,nike,"5,962,219","95,506 1.63%",536025,14,38.3K /post,0.64%,8.99%,,
Fashion,tiktok,gucci,"4,539,106","318,982 7.56%",2365402,23,102.8K /post,2.27%,52.11%,,
Fashion,twitter,adidas,"4,387,870","2,523 0.06%",417,2,208.5 /post,0.01%,0.01%,,
Fashion,youtube,chanel,"2,510,000",0 0%,12491,18,693.9 /post,0.03%,0.50%,,175.70K
Fashion,youtube,nike,"1,840,000",0 0%,0,0,0 /post,0.00%,0.00%,,0
Fashion,youtube,adidas,"1,170,000","40,000 3.54%",8881,26,341.6 /post,0.03%,0.76%,,261.76K
Fashion,youtube,gucci,"1,160,000",0 0%,141977,18,7888 /post,0.68%,12.24%,,13.60M
Fashion,tiktok,chanel,2,0 0%,0,0,0 /post,0%,0%,,
Fashion,instagram,zara,"61,493,040","79,579 0.13%",3247338,32,101.5K /post,0.17%,5.28%,"80,210,500",
Fashion,instagram,dior,"45,854,071","123,238 0.27%",5794932,93,62.3K /post,0.14%,12.64%,"14,092,199",
Fashion,facebook,zara,"30,656,605","-6,917 -0.02%",57026,24,2376 /post,0.01%,0.19%,"382,139",
Fashion,facebook,levis,"25,462,262","-8,085 -0.03%",240,1,240 /post,0.00%,0.00%,"1,216",
Fashion,facebook,dior,"18,981,547","18,981,547 %",198155,32,6192 /post,0.03%,1.04%,"1,696,751",
Fashion,facebook,forever21,"15,301,234","15,301,234 %",617,20,30.9 /post,0%,0.00%,"3,419",
Fashion,instagram,forever21,"14,560,578","-41,112 -0.28%",82151,90,912.8 /post,0.01%,0.56%,"229,596",
Fashion,tiktok,zara,"10,416,988","253,707 2.5%",699488,12,58.3K /post,0.56%,6.72%,,
Fashion,twitter,dior,"9,300,465","2,512 0.03%",208101,85,2448 /post,0.03%,2.24%,,
Fashion,instagram,levis,"9,226,461","307,816 3.45%",85658,18,4759 /post,0.05%,0.93%,"500,459",
Fashion,tiktok,dior,"7,644,136","51,194 0.67%",848032,31,27.4K /post,0.36%,11.09%,,
Fashion,youtube,dior,"3,280,000",0 0%,28919,18,1607 /post,0.05%,0.88%,,8.21M
Fashion,twitter,forever21,"1,809,869","-2,665 -0.15%",172,20,8.6 /post,0%,0.01%,,
Fashion,twitter,zara,"1,375,805",-255 -0.02%,3249,20,162.4 /post,0.01%,0.24%,,
Fashion,tiktok,levis,"1,274,990","2,902 0.23%",212453,17,12.5K /post,0.98%,16.66%,,
Fashion,youtube,levis,"461,000",0 0%,486,7,69.4 /post,0.02%,0.11%,,12.94K
Fashion,tiktok,forever21,"228,142","3,905 1.74%",18220,70,260.3 /post,0.11%,7.99%,,
Fashion,youtube,zara,"118,000","1,000 0.85%",0,0,0 /post,0%,0%,,0
Fashion,youtube,forever21,"67,800",0 0%,38,4,9.5 /post,0.01%,0.06%,,1274
Travel,facebook,expedia,"6,672,631","-6,196 -0.09%",0,0,0 /post,0%,0%,0,
Travel,facebook,carnival,"5,098,377",744 0.01%,31315,16,1957 /post,0.04%,0.61%,"256,667",
Travel,facebook,delta,"3,324,382","-1,450 -0.04%",12495,6,2083 /post,0.06%,0.38%,"65,765",
Travel,twitter,delta,"1,656,093",243 0.01%,3041,6,506.8 /post,0.03%,0.18%,,
Travel,tiktok,expedia,"1,446,564","34,463 2.44%",99716,12,8310 /post,0.57%,6.89%,,
Travel,instagram,delta,"1,370,805","8,863 0.65%",71074,13,5467 /post,0.40%,5.19%,"751,780",
Travel,youtube,expedia,"1,160,000",0 0%,290,2,145 /post,0.01%,0.03%,,404.83K
Travel,instagram,carnival,"927,019","5,717 0.62%",73355,13,5643 /post,0.61%,7.91%,"888,130",
Travel,instagram,expedia,"557,327","2,998 0.54%",11125,22,505.7 /post,0.09%,2.00%,"132,121",
Travel,tiktok,delta,"555,528",0 0%,8166,7,1167 /post,0.21%,1.47%,,
Travel,twitter,expedia,"453,501",-267 -0.06%,0,0,0 /post,0%,0%,,
Travel,facebook,allegiant,"345,299",146 0.04%,13758,14,982.7 /post,0.29%,3.98%,"69,791",
Travel,tiktok,carnival,"236,683",0 0%,39124,9,4347 /post,1.84%,16.53%,,
Travel,youtube,carnival,"113,000","1,000 0.89%",858,3,286 /post,0.25%,0.76%,,69.95K
Travel,youtube,delta,"110,000",0 0%,120,2,60 /post,0.06%,0.11%,,2000
Travel,instagram,allegiant,"86,527","2,735 3.26%",26771,23,1164 /post,1.35%,30.94%,"239,436",
Travel,twitter,allegiant,"68,313",0 0%,343,14,24.5 /post,0.04%,0.50%,,
Travel,youtube,allegiant,"3,900",0 0%,0,0,0 /post,0%,,,
Travel,facebook,vrbo,"6,112,023","-4,621 -0.08%",192868,16,12.1K /post,0.20%,3.16%,"642,719",
Travel,facebook,hostelworld,"2,121,688",0 0%,211,5,42.2 /post,0.00%,0.01%,0,
Travel,tiktok,vrbo,"2,108,964","43,233 2.09%",274818,10,27.5K /post,1.30%,13.03%,,
Travel,instagram,vrbo,"1,287,292","3,492 0.27%",12407,19,653 /post,0.05%,0.96%,"123,030",
Travel,youtube,hilton,"950,000","-6,000 -0.63%",7263,43,168.9 /post,0.02%,0.77%,,2.74M
Travel,facebook,hilton,"703,771","2,654 0.38%",1376,7,196.6 /post,0.03%,0.20%,"10,952",
Travel,tiktok,hilton,"381,854","9,798 2.63%",186409,15,12.4K /post,3.25%,48.82%,,
Travel,instagram,hostelworld,"314,469",0 0%,94934,11,8630 /post,2.74%,30.19%,"311,103",
Travel,instagram,hilton,"230,387","4,810 2.13%",194927,13,15.0K /post,6.51%,84.61%,"330,974",
Travel,tiktok,hostelworld,"57,124",104 0.18%,9625,8,1203 /post,2.11%,16.85%,,
Travel,twitter,hostelworld,"54,807",0 0%,0,0,0 /post,0%,0%,,
Travel,instagram,palisociety,"52,761",0 0%,4380,18,243.3 /post,0.46%,8.30%,"52,449",
Travel,youtube,vrbo,"42,300",100 0.24%,7,1,7 /post,0.02%,0.02%,,688
Travel,twitter,vrbo,"36,526",83 0.23%,16,1,16 /post,0.04%,0.04%,,
Travel,youtube,hostelworld,"33,300",0 0%,0,0,0 /post,0%,0%,,0
Travel,twitter,hilton,"26,140",206 0.79%,2260,9,251.1 /post,0.96%,8.65%,,
Travel,tiktok,palisociety,467,0 0%,258,7,36.9 /post,7.89%,55.25%,,
Travel,twitter,palisociety,64,0 0%,0,0,0 /post,0%,,,
Travel,facebook,trivago,"9,509,568","-3,223 -0.03%",1361,15,90.7 /post,0.00%,0.01%,"5,078",
Travel,facebook,tripadvisor,"7,651,847","1,501 0.02%",17671,106,166.7 /post,0.00%,0.23%,"65,461",
Travel,twitter,tripadvisor,"3,378,505","-2,218 -0.07%",1976,93,21.2 /post,0.00%,0.06%,,
Travel,instagram,tripadvisor,"2,983,963","8,058 0.27%",37700,42,897.6 /post,0.03%,1.26%,"1,808,837",
Travel,facebook,viking,"1,237,995",0 0%,36307,29,1252 /post,0.10%,2.93%,"114,773",
